,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Date UTC
275,Crotone,39.09,17.12,14.72,91,84,0.22,IT,1587507266,2020-04-21 16:14:26
276,Gemeente Nijmegen,51.83,5.85,13.89,50,0,5.7,NL,1587507420,2020-04-21 16:17:00
277,Salalah,17.02,54.09,28.0,74,53,1.5,OM,1587507420,2020-04-21 16:17:00
278,Necochea,-38.55,-58.74,11.67,73,100,2.3,AR,1587507420,2020-04-21 16:17:00
279,Sibolga,1.74,98.78,24.96,80,69,1.22,ID,1587507420,2020-04-21 16:17:00
280,Loralai,30.37,68.6,19.27,24,42,3.09,PK,1587507421,2020-04-21 16:17:01
281,Pangnirtung,66.15,-65.71,-10.0,85,90,1.5,CA,1587507421,2020-04-21 16:17:01
282,Tashla,51.77,52.74,5.42,75,51,4.72,RU,1587507421,2020-04-21 16:17:01
283,Narsaq,60.92,-46.05,10.0,37,60,15.4,GL,1587507421,2020-04-21 16:17:01
284,Morondava,-20.28,44.28,22.88,90,100,5.6,MG,1587507422,2020-04-21 16:17:02
285,Barentu,15.11,37.59,20.87,14,74,2.45,ER,1587507422,2020-04-21 16:17:02
286,Marawi,8.0,124.29,23.33,83,69,3.13,PH,1587507422,2020-04-21 16:17:02
287,Río Gallegos,-51.62,-69.22,12.0,40,47,13.4,AR,1587507422,2020-04-21 16:17:02
288,Chernyshevskiy,63.01,112.47,-4.82,95,78,1.9,RU,1587507424,2020-04-21 16:17:04
289,Bethel,41.37,-73.41,9.44,70,75,1.5,US,1587507424,2020-04-21 16:17:04
290,Zhezkazgan,47.8,67.71,16.52,31,14,3.55,KZ,1587507424,2020-04-21 16:17:04
291,Muroto-misakicho,33.28,134.15,13.0,35,75,4.6,JP,1587507424,2020-04-21 16:17:04
292,Belgaum,15.87,74.5,23.33,47,45,1.55,IN,1587507425,2020-04-21 16:17:05
293,Tuatapere,-46.13,167.68,11.67,94,92,1.79,NZ,1587507425,2020-04-21 16:17:05
294,Ponta do Sol,32.67,-17.1,16.0,59,40,3.1,PT,1587507425,2020-04-21 16:17:05
295,Alofi,-19.06,-169.92,29.0,70,75,6.2,NU,1587507308,2020-04-21 16:15:08
296,Taltal,-25.4,-70.48,20.62,63,38,2.03,CL,1587507425,2020-04-21 16:17:05
297,Poronaysk,49.22,143.12,0.47,97,100,6.44,RU,1587507425,2020-04-21 16:17:05
298,Esim,4.87,-2.24,27.73,81,0,4.8,GH,1587507425,2020-04-21 16:17:05
299,Kunyang,27.67,120.57,10.53,83,100,3.1,CN,1587507426,2020-04-21 16:17:06
300,Puerto Escondido,15.85,-97.07,30.0,89,5,3.6,MX,1587507290,2020-04-21 16:14:50
301,Oktyabr'skiy,54.48,53.47,5.14,79,55,4.52,RU,1587507426,2020-04-21 16:17:06
302,Fort Nelson,58.81,-122.7,14.0,33,75,3.6,CA,1587507426,2020-04-21 16:17:06
303,Doha,25.29,51.53,25.0,65,55,3.1,QA,1587507314,2020-04-21 16:15:14
304,Sabalgarh,26.25,77.4,27.63,30,7,0.98,IN,1587507427,2020-04-21 16:17:07
305,Kahului,20.89,-156.47,27.0,61,40,5.1,US,1587507427,2020-04-21 16:17:07
306,Poiares,40.21,-8.26,14.44,89,43,1.79,PT,1587507427,2020-04-21 16:17:07
307,Dalmeny,52.33,-106.77,20.0,30,5,7.7,CA,1587507428,2020-04-21 16:17:08
308,Berdigestyakh,62.1,126.7,-7.47,94,32,1.62,RU,1587507428,2020-04-21 16:17:08
309,Grand Gaube,-20.01,57.66,24.44,75,8,3.13,MU,1587507428,2020-04-21 16:17:08
310,Ulaangom,49.98,92.07,4.77,42,0,0.61,MN,1587507428,2020-04-21 16:17:08
311,Caravelas,-17.71,-39.25,24.93,80,27,5.03,BR,1587507429,2020-04-21 16:17:09
312,At-Bashi,41.17,75.81,7.52,24,40,0.56,KG,1587507429,2020-04-21 16:17:09
313,Thompson,55.74,-97.86,0.0,93,75,3.1,CA,1587507260,2020-04-21 16:14:20
314,Egvekinot,66.32,-179.17,-11.88,87,0,1.81,RU,1587507429,2020-04-21 16:17:09
315,Mezen',65.85,44.24,-2.92,94,9,4.33,RU,1587507429,2020-04-21 16:17:09
316,Voh,-20.97,164.7,24.14,79,19,3.17,NC,1587507430,2020-04-21 16:17:10
317,Okhotsk,59.38,143.3,-6.47,89,95,1.52,RU,1587507430,2020-04-21 16:17:10
318,Cabra,37.47,-4.44,12.78,77,17,1.34,ES,1587507430,2020-04-21 16:17:10
319,Normandin,48.83,-72.53,3.0,86,20,4.1,CA,1587507430,2020-04-21 16:17:10
320,Esna,25.29,32.55,25.0,36,0,2.54,EG,1587507431,2020-04-21 16:17:11
321,Hirara,24.8,125.28,21.0,94,75,7.2,JP,1587507431,2020-04-21 16:17:11
322,Presidencia Roque Sáenz Peña,-26.79,-60.44,28.2,37,0,1.55,AR,1587507431,2020-04-21 16:17:11
323,Adrar,20.5,-10.07,27.57,13,0,3.06,MR,1587507431,2020-04-21 16:17:11
324,Shibetsu,43.66,145.13,4.19,73,0,4.56,JP,1587507431,2020-04-21 16:17:11
325,Siaya,0.06,34.29,18.36,60,100,1.45,KE,1587507431,2020-04-21 16:17:11
326,Mastung,29.8,66.84,17.24,28,50,1.09,PK,1587507432,2020-04-21 16:17:12
327,Mount Gambier,-37.83,140.77,12.0,93,90,2.6,AU,1587507432,2020-04-21 16:17:12
328,Srivilliputtur,9.51,77.63,30.0,66,20,1.0,IN,1587507432,2020-04-21 16:17:12
329,Lac du Bonnet,50.25,-96.06,2.22,58,99,3.58,CA,1587507432,2020-04-21 16:17:12
330,Santa Barbara,34.42,-119.7,26.67,44,1,4.6,US,1587507432,2020-04-21 16:17:12
331,Vilhena,-12.74,-60.15,26.0,69,75,6.2,BR,1587507432,2020-04-21 16:17:12
332,Simbahan,6.3,120.58,28.24,70,100,1.1,PH,1587507433,2020-04-21 16:17:13
333,Corinth,37.94,22.96,11.67,73,90,1.79,GR,1587507433,2020-04-21 16:17:13
334,Fairbanks,64.84,-147.72,6.11,93,90,2.6,US,1587507433,2020-04-21 16:17:13
335,Zalha,47.18,23.53,8.0,56,33,2.1,RO,1587507433,2020-04-21 16:17:13
336,Suoyarvi,62.08,32.35,2.18,79,36,4.63,RU,1587507433,2020-04-21 16:17:13
337,Anito,12.45,125.29,26.07,86,21,3.45,PH,1587507434,2020-04-21 16:17:14
338,Bara,10.37,10.73,33.03,21,56,1.93,NG,1587507434,2020-04-21 16:17:14
339,Vostok,46.49,135.88,-4.96,93,100,1.18,RU,1587507434,2020-04-21 16:17:14
340,Winnemucca,40.97,-117.74,21.0,15,90,1.5,US,1587507434,2020-04-21 16:17:14
341,Umm Kaddadah,13.6,26.69,26.84,12,80,3.31,SD,1587507435,2020-04-21 16:17:15
342,Katobu,-4.94,122.53,25.16,89,29,1.47,ID,1587507435,2020-04-21 16:17:15
343,Bathsheba,13.22,-59.52,28.0,69,40,8.7,BB,1587507262,2020-04-21 16:14:22
344,Liwale,-9.77,37.93,20.04,82,8,1.28,TZ,1587507435,2020-04-21 16:17:15
345,Nichinan,31.6,131.37,12.0,22,75,8.7,JP,1587507435,2020-04-21 16:17:15
346,Kapit,2.02,112.93,23.42,94,100,0.71,MY,1587507435,2020-04-21 16:17:15
347,La Cruz,23.92,-106.9,28.33,51,99,4.92,MX,1587507436,2020-04-21 16:17:16
348,Cap Malheureux,-19.98,57.61,24.44,75,5,3.13,MU,1587507436,2020-04-21 16:17:16
349,Butiama,-1.77,33.97,21.0,88,40,0.98,TZ,1587507436,2020-04-21 16:17:16
350,Ilulissat,69.22,-51.1,1.0,69,0,2.6,GL,1587507436,2020-04-21 16:17:16
351,Vila Velha,-20.33,-40.29,25.0,73,20,4.1,BR,1587507437,2020-04-21 16:17:17
352,Lhokseumawe,5.18,97.15,26.58,80,99,1.87,ID,1587507437,2020-04-21 16:17:17
353,Havre-St-Pierre,50.23,-63.6,1.0,47,1,3.1,CA,1587507437,2020-04-21 16:17:17
354,Marzuq,14.4,46.47,22.79,47,96,0.93,YE,1587507437,2020-04-21 16:17:17
355,Arrondissement de Provins,48.58,3.17,14.0,58,88,2.1,FR,1587507438,2020-04-21 16:17:18
356,Elk River,45.3,-93.57,8.89,28,75,2.6,US,1587507438,2020-04-21 16:17:18
357,Amahai,-3.33,128.92,26.88,78,43,0.83,ID,1587507438,2020-04-21 16:17:18
358,Abnūb,27.27,31.15,23.0,33,0,3.1,EG,1587507438,2020-04-21 16:17:18
359,Tūkrah,32.53,20.58,18.25,72,0,3.4,LY,1587507439,2020-04-21 16:17:19
360,Saint George,37.1,-113.58,18.33,59,1,0.83,US,1587507439,2020-04-21 16:17:19
361,Bridlington,54.08,-0.19,8.0,81,9,5.7,GB,1587507439,2020-04-21 16:17:19
362,Port Hedland,-20.32,118.57,26.0,57,12,3.6,AU,1587507308,2020-04-21 16:15:08
363,Qaqortoq,60.72,-46.03,10.0,37,64,15.4,GL,1587507439,2020-04-21 16:17:19
364,Karasburg,-28.02,18.75,22.28,32,100,4.32,NA,1587507439,2020-04-21 16:17:19
365,Palmares do Sul,-30.26,-50.51,20.95,68,0,2.25,BR,1587507440,2020-04-21 16:17:20
366,Antsohihy,-14.88,47.99,23.41,76,10,1.8,MG,1587507440,2020-04-21 16:17:20
367,Chunskiy,56.08,99.63,-0.7,78,38,2.16,RU,1587507440,2020-04-21 16:17:20
368,Tezu,27.92,96.17,19.8,71,100,1.21,IN,1587507314,2020-04-21 16:15:14
369,Maningrida,-12.07,134.27,22.86,86,62,3.34,AU,1587507440,2020-04-21 16:17:20
370,Vizianagaram,18.12,83.42,27.43,73,39,4.21,IN,1587507440,2020-04-21 16:17:20
371,Chunhuhub,19.55,-88.68,39.52,22,0,3.0,MX,1587507441,2020-04-21 16:17:21
372,Manaus,-3.1,-60.02,29.0,70,40,5.7,BR,1587507441,2020-04-21 16:17:21
373,Nanortalik,60.14,-45.24,4.4,75,73,5.62,GL,1587507441,2020-04-21 16:17:21
374,Gachalá,4.69,-73.52,31.0,52,40,1.4,CO,1587507441,2020-04-21 16:17:21
375,Guarapari,-20.67,-40.5,25.0,73,20,4.1,BR,1587507441,2020-04-21 16:17:21
376,Río Bueno,-40.32,-72.97,14.0,62,96,2.1,CL,1587507441,2020-04-21 16:17:21
377,Araguaína,-7.19,-48.21,24.31,81,100,0.93,BR,1587507442,2020-04-21 16:17:22
378,Viedma,-40.81,-63.0,15.41,34,72,0.72,AR,1587507442,2020-04-21 16:17:22
379,Khovd,48.01,91.64,3.97,33,0,0.45,MN,1587507442,2020-04-21 16:17:22
380,Amposta,40.71,0.58,14.44,80,100,5.36,ES,1587507347,2020-04-21 16:15:47
381,Wufeng,27.45,104.83,7.06,55,100,1.76,CN,1587507442,2020-04-21 16:17:22
382,Ilihan,13.63,121.08,27.22,88,91,0.89,PH,1587507442,2020-04-21 16:17:22
383,Kinablangan,7.69,126.55,25.15,77,47,1.87,PH,1587507443,2020-04-21 16:17:23
384,Hanna,51.63,-111.9,16.79,32,1,5.97,CA,1587507443,2020-04-21 16:17:23
385,Fuerte Olimpo,-21.04,-57.87,30.95,33,0,1.76,PY,1587507443,2020-04-21 16:17:23
386,Opunake,-39.46,173.86,11.67,82,0,1.34,NZ,1587507443,2020-04-21 16:17:23
387,Marshall,34.38,-86.33,23.33,28,40,4.1,US,1587507443,2020-04-21 16:17:23
388,Talaya,61.38,152.75,-14.62,86,85,0.25,RU,1587507443,2020-04-21 16:17:23
389,Polson,47.69,-114.16,15.0,35,61,2.24,US,1587507444,2020-04-21 16:17:24
390,Mumford,5.26,-0.76,27.87,81,6,4.93,GH,1587507444,2020-04-21 16:17:24
391,Buchanan,5.88,-10.05,26.0,83,40,2.1,LR,1587507444,2020-04-21 16:17:24
392,São Filipe,14.9,-24.5,22.62,78,0,7.83,CV,1587507444,2020-04-21 16:17:24
393,Berdsk,54.76,83.1,7.0,65,99,2.0,RU,1587507444,2020-04-21 16:17:24
394,Kivertsi,50.83,25.46,4.06,68,30,0.77,UA,1587507444,2020-04-21 16:17:24
395,Te Anau,-45.42,167.72,10.04,77,86,0.17,NZ,1587507445,2020-04-21 16:17:25
396,Stornoway,58.21,-6.39,10.0,70,25,2.6,GB,1587507445,2020-04-21 16:17:25
397,Comodoro Rivadavia,-45.87,-67.5,15.0,54,0,3.1,AR,1587507445,2020-04-21 16:17:25
398,Ust'-Ilimsk,58.0,102.66,-1.19,86,100,2.65,RU,1587507445,2020-04-21 16:17:25
399,Quelimane,-17.88,36.89,22.0,94,20,1.5,MZ,1587507445,2020-04-21 16:17:25
400,Bahía Honda,22.9,-83.16,29.27,62,18,2.59,CU,1587507445,2020-04-21 16:17:25
401,Along,28.17,94.77,18.15,70,100,0.56,IN,1587507446,2020-04-21 16:17:26
402,Pitimbu,-7.47,-34.81,26.0,94,75,3.64,BR,1587507446,2020-04-21 16:17:26
403,Bambous Virieux,-20.34,57.76,24.44,75,15,3.13,MU,1587507446,2020-04-21 16:17:26
404,Kirkwood,38.58,-90.41,20.0,23,1,4.6,US,1587507446,2020-04-21 16:17:26
405,Lata,40.16,-8.33,14.44,88,50,2.24,PT,1587507446,2020-04-21 16:17:26
406,Zhigansk,66.77,123.37,-6.03,96,100,3.58,RU,1587507447,2020-04-21 16:17:27
407,Chaman,30.92,66.45,19.93,26,67,1.63,PK,1587507447,2020-04-21 16:17:27
408,Yumen,40.28,97.2,6.95,22,1,3.43,CN,1587507447,2020-04-21 16:17:27
409,Fomboni,-12.28,43.74,27.94,71,11,1.73,KM,1587507447,2020-04-21 16:17:27
410,Edson,53.58,-116.44,15.51,32,70,6.48,CA,1587507318,2020-04-21 16:15:18
411,Östersund,63.18,14.64,6.0,56,0,2.1,SE,1587507447,2020-04-21 16:17:27
412,Kaeo,-35.1,173.78,16.67,95,3,2.24,NZ,1587507448,2020-04-21 16:17:28
413,Yurginskoye,56.82,67.39,8.41,82,43,4.13,RU,1587507448,2020-04-21 16:17:28
414,Kailua,21.4,-157.74,28.0,58,20,5.1,US,1587507448,2020-04-21 16:17:28
415,Boddam,57.47,-1.78,7.22,87,0,0.5,GB,1587507448,2020-04-21 16:17:28
416,Shelton,41.32,-73.09,10.56,81,40,8.7,US,1587507395,2020-04-21 16:16:35
417,Manjacaze,-24.71,33.88,21.13,88,0,2.93,MZ,1587507448,2020-04-21 16:17:28
418,Thinadhoo,0.53,72.93,28.98,70,100,1.68,MV,1587507448,2020-04-21 16:17:28
419,Saint-Augustin,51.23,-58.65,2.57,80,30,4.39,CA,1587507449,2020-04-21 16:17:29
420,Hofn,64.25,-15.21,6.59,83,50,1.68,IS,1587507449,2020-04-21 16:17:29
421,Sfântu Gheorghe,45.87,25.78,4.44,58,24,1.75,RO,1587507449,2020-04-21 16:17:29
422,Iwanai,42.97,140.51,3.53,71,94,5.57,JP,1587507449,2020-04-21 16:17:29
423,Fargo,46.88,-96.79,6.0,81,20,6.2,US,1587507404,2020-04-21 16:16:44
424,North Platte,41.12,-100.77,25.0,20,20,5.1,US,1587507449,2020-04-21 16:17:29
425,Gōtsuchō,35.0,132.22,7.02,59,88,8.74,JP,1587507450,2020-04-21 16:17:30
426,Orlea,43.75,24.38,6.0,81,75,2.1,RO,1587507450,2020-04-21 16:17:30
427,Kristianstad,56.03,14.15,4.44,84,0,1.0,SE,1587507338,2020-04-21 16:15:38
428,Mocuba,-16.84,36.99,19.63,93,0,1.34,MZ,1587507450,2020-04-21 16:17:30
429,Palu,-0.89,119.87,24.87,78,89,1.14,ID,1587507450,2020-04-21 16:17:30
430,Honningsvåg,70.98,25.97,4.0,69,40,15.9,NO,1587507450,2020-04-21 16:17:30
431,Moyale,3.52,39.06,19.98,64,100,1.19,KE,1587507450,2020-04-21 16:17:30
432,Kichera,55.94,110.1,-4.68,80,3,1.54,RU,1587507451,2020-04-21 16:17:31
433,Yulara,-25.24,130.99,20.0,45,33,2.1,AU,1587507451,2020-04-21 16:17:31
434,Cherskiy,68.75,161.3,-9.57,96,100,3.71,RU,1587507451,2020-04-21 16:17:31
435,Kiambu,-1.17,36.83,18.0,93,75,4.6,KE,1587507451,2020-04-21 16:17:31
436,Norwich,52.63,1.3,10.0,87,32,3.6,GB,1587507451,2020-04-21 16:17:31
437,Dabat,12.98,37.77,15.0,12,38,2.24,ET,1587507451,2020-04-21 16:17:31
438,Mindelo,16.89,-24.98,22.0,73,20,10.3,CV,1587507452,2020-04-21 16:17:32
439,Severnyy-Kospashskiy,59.09,57.8,4.44,81,100,1.79,RU,1587507452,2020-04-21 16:17:32
440,Kualakapuas,-3.01,114.39,25.0,100,35,0.5,ID,1587507452,2020-04-21 16:17:32
441,Satipo,-11.25,-74.64,31.4,32,41,0.95,PE,1587507452,2020-04-21 16:17:32
442,Tacoronte,28.48,-16.41,15.56,71,20,6.2,ES,1587507452,2020-04-21 16:17:32
443,Baiyin,36.56,104.21,7.22,63,71,2.0,CN,1587507452,2020-04-21 16:17:32
444,Cukai,4.25,103.42,27.0,94,99,2.04,MY,1587507453,2020-04-21 16:17:33
445,Nyimba,-14.56,30.81,17.67,53,4,1.37,ZM,1587507453,2020-04-21 16:17:33
446,Henties Bay,-22.12,14.28,16.11,89,25,0.89,NA,1587507453,2020-04-21 16:17:33
447,Acapulco de Juárez,16.86,-99.89,28.0,74,20,4.6,MX,1587507156,2020-04-21 16:12:36
448,Vila Franca do Campo,37.72,-25.43,15.0,72,20,3.1,PT,1587507453,2020-04-21 16:17:33
449,Mandera,3.94,41.87,26.11,16,100,3.03,KE,1587507453,2020-04-21 16:17:33
450,Bosaso,11.28,49.18,28.94,67,100,1.42,SO,1587507454,2020-04-21 16:17:34
451,Los Llanos de Aridane,28.66,-17.92,19.0,63,20,6.2,ES,1587507454,2020-04-21 16:17:34
452,Torbay,47.67,-52.73,1.11,96,75,8.2,CA,1587507454,2020-04-21 16:17:34
453,Port Hardy,50.7,-127.42,13.0,58,90,4.6,CA,1587507197,2020-04-21 16:13:17
454,Plettenberg Bay,-34.05,23.37,16.21,74,76,1.4,ZA,1587507454,2020-04-21 16:17:34
455,Zarand,30.81,56.56,16.76,37,100,3.55,IR,1587507454,2020-04-21 16:17:34
456,Qui Nhon,13.77,109.23,24.62,89,73,2.14,VN,1587507455,2020-04-21 16:17:35
457,Ternate,0.8,127.4,26.57,80,1,1.26,ID,1587507455,2020-04-21 16:17:35
458,Pilar,-9.6,-35.96,27.0,78,75,4.1,BR,1587507455,2020-04-21 16:17:35
459,Safford,32.83,-109.71,28.0,13,1,4.6,US,1587507279,2020-04-21 16:14:39
460,Bilibino,68.05,166.44,-13.49,88,89,0.58,RU,1587507455,2020-04-21 16:17:35
461,Kununurra,-15.77,128.73,23.0,94,0,0.81,AU,1587507455,2020-04-21 16:17:35
462,Susanville,40.42,-120.65,17.77,24,21,0.69,US,1587507438,2020-04-21 16:17:18
463,Yakeshi,49.28,120.73,-8.74,86,76,4.08,CN,1587507456,2020-04-21 16:17:36
464,Vryburg,-26.96,24.73,19.56,31,4,3.32,ZA,1587507456,2020-04-21 16:17:36
465,Tabou,4.42,-7.35,26.96,83,91,2.76,CI,1587507456,2020-04-21 16:17:36
466,Panguna,-6.32,155.48,23.16,76,85,0.66,PG,1587507456,2020-04-21 16:17:36
467,Coahuayana Viejo,18.73,-103.68,26.0,74,5,2.6,MX,1587507457,2020-04-21 16:17:37
468,Banda Aceh,5.56,95.32,27.18,81,100,2.45,ID,1587507457,2020-04-21 16:17:37
469,Amboasary,-25.03,46.38,21.45,84,100,1.64,MG,1587507457,2020-04-21 16:17:37
470,Ahipara,-35.17,173.17,16.51,80,0,1.08,NZ,1587507457,2020-04-21 16:17:37
471,Kaseda-shirakame,31.42,130.32,11.0,34,75,8.2,JP,1587507426,2020-04-21 16:17:06
472,Beloha,-25.17,45.05,22.81,67,100,3.52,MG,1587507457,2020-04-21 16:17:37
473,Baikunthpur,23.25,82.55,21.07,61,1,1.91,IN,1587507457,2020-04-21 16:17:37
474,Belmonte,-15.86,-38.88,25.0,78,20,2.1,BR,1587507458,2020-04-21 16:17:38
475,Teguise,29.06,-13.56,19.0,59,40,6.7,ES,1587507262,2020-04-21 16:14:22
476,Homa Bay,-0.53,34.46,19.26,62,98,1.81,KE,1587507458,2020-04-21 16:17:38
477,Batemans Bay,-35.72,150.18,10.0,83,0,0.89,AU,1587507458,2020-04-21 16:17:38
478,Dera Bugti,29.03,69.15,25.85,23,2,0.82,PK,1587507458,2020-04-21 16:17:38
479,Noumea,-22.28,166.46,25.56,83,7,0.5,NC,1587507458,2020-04-21 16:17:38
480,Sørland,67.67,12.69,3.0,93,40,2.11,NO,1587507459,2020-04-21 16:17:39
481,Tomatlán,19.93,-105.25,29.63,51,99,3.57,MX,1587507459,2020-04-21 16:17:39
482,Cochrane,51.18,-114.47,17.22,31,1,10.8,CA,1587507322,2020-04-21 16:15:22
483,Naliya,23.27,68.83,26.81,77,78,5.62,IN,1587507459,2020-04-21 16:17:39
484,Sahuaripa,29.05,-109.23,34.81,8,81,6.39,MX,1587507459,2020-04-21 16:17:39
485,Rawson,-43.3,-65.1,17.18,32,2,1.41,AR,1587507459,2020-04-21 16:17:39
486,Sur,22.57,59.53,30.71,39,89,4.67,OM,1587507460,2020-04-21 16:17:40
487,Del Rio,29.36,-100.9,30.0,58,75,6.7,US,1587507460,2020-04-21 16:17:40
488,Nouadhibou,20.93,-17.03,20.0,68,0,9.8,MR,1587507460,2020-04-21 16:17:40
489,Mayo,38.89,-76.51,17.22,36,40,6.7,US,1587507460,2020-04-21 16:17:40
490,Fougamou,-1.22,10.58,23.97,87,5,1.35,GA,1587507460,2020-04-21 16:17:40
491,Isabela,6.71,121.97,26.0,94,75,0.64,PH,1587507460,2020-04-21 16:17:40
492,Coquimbo,-29.95,-71.34,17.0,82,75,2.6,CL,1587507448,2020-04-21 16:17:28
493,Mount Isa,-20.73,139.5,25.0,16,28,3.1,AU,1587507185,2020-04-21 16:13:05
494,Volchanets,42.91,132.75,0.88,85,95,5.31,RU,1587507461,2020-04-21 16:17:41
495,São Paulo de Olivença,-3.38,-68.87,31.28,60,67,1.11,BR,1587507461,2020-04-21 16:17:41
496,San Miguel de Cozumel,20.51,-86.95,31.0,62,75,4.1,MX,1587507461,2020-04-21 16:17:41
497,Garoowe,8.41,48.48,25.81,63,100,5.28,SO,1587507461,2020-04-21 16:17:41
498,Kieta,-6.22,155.63,27.5,75,71,1.0,PG,1587507461,2020-04-21 16:17:41
499,Dukat,62.55,155.55,-14.05,86,47,0.45,RU,1587507461,2020-04-21 16:17:41
500,Haines Junction,60.75,-137.51,2.9,65,100,3.04,CA,1587507462,2020-04-21 16:17:42
501,Krasnoborsk,61.56,45.93,-0.23,97,76,2.06,RU,1587507462,2020-04-21 16:17:42
502,Sambava,-14.27,50.17,23.27,86,93,2.43,MG,1587507462,2020-04-21 16:17:42
503,Razdolinsk,58.42,94.67,2.91,65,100,1.61,RU,1587507462,2020-04-21 16:17:42
504,Mbandaka,0.05,18.26,22.9,86,99,1.34,CD,1587507462,2020-04-21 16:17:42
505,Nyurba,63.28,118.33,-3.53,97,99,1.88,RU,1587507463,2020-04-21 16:17:43
506,Kayunga,0.7,32.89,18.17,71,75,0.57,UG,1587507463,2020-04-21 16:17:43
507,Nishihara,26.18,127.76,17.0,87,90,3.6,JP,1587507463,2020-04-21 16:17:43
508,Progreso,21.28,-89.67,36.0,44,40,5.1,MX,1587507463,2020-04-21 16:17:43
509,Gizo Government Station,-8.1,156.84,27.93,76,75,2.86,SB,1587507463,2020-04-21 16:17:43
510,Culebra,18.3,-65.3,29.0,66,1,5.1,PR,1587507463,2020-04-21 16:17:43
511,Harper,4.38,-7.72,27.4,80,93,2.65,LR,1587507463,2020-04-21 16:17:43
512,Sitka,57.05,-135.33,9.0,76,90,5.1,US,1587507464,2020-04-21 16:17:44
513,Urdoma,61.75,48.54,-1.6,97,93,2.21,RU,1587507464,2020-04-21 16:17:44
514,Mitchell,43.71,-98.03,23.0,37,90,4.6,US,1587507464,2020-04-21 16:17:44
515,Humaitá,-7.51,-63.02,29.3,70,85,1.66,BR,1587507464,2020-04-21 16:17:44
516,Muskegon,43.3,-86.13,5.0,38,20,6.7,US,1587507354,2020-04-21 16:15:54
517,Araouane,18.9,-3.53,28.6,12,43,3.19,ML,1587507465,2020-04-21 16:17:45
518,Smithers,54.78,-127.17,11.0,39,90,2.6,CA,1587507300,2020-04-21 16:15:00
519,Montelíbano,7.98,-75.42,32.18,58,97,3.19,CO,1587507465,2020-04-21 16:17:45
520,Sola,-13.88,167.55,29.0,83,40,1.19,VU,1587507465,2020-04-21 16:17:45
521,Shubarshi,48.59,57.19,10.63,83,100,9.58,KZ,1587507465,2020-04-21 16:17:45
522,Manado,1.49,124.85,24.0,94,20,0.5,ID,1587507465,2020-04-21 16:17:45
523,Hamilton,39.18,-84.53,13.33,23,1,8.2,US,1587507248,2020-04-21 16:14:08
524,Sturgis,41.8,-85.42,6.0,33,1,7.7,US,1587507337,2020-04-21 16:15:37
525,Morgan City,29.7,-91.21,28.33,48,1,2.6,US,1587507466,2020-04-21 16:17:46
526,Sembakung,3.82,117.25,23.97,93,50,1.31,ID,1587507466,2020-04-21 16:17:46
527,Cotacachi,0.3,-78.27,18.0,72,75,6.7,EC,1587507466,2020-04-21 16:17:46
528,Anori,-3.77,-61.64,29.17,80,85,0.7,BR,1587507466,2020-04-21 16:17:46
529,Sabha,27.04,14.43,23.95,15,0,2.73,LY,1587507466,2020-04-21 16:17:46
530,Caraballeda,10.61,-66.85,26.11,78,79,0.89,VE,1587507467,2020-04-21 16:17:47
531,Petropavlovsk-Kamchatskiy,53.05,158.65,0.0,92,75,3.0,RU,1587507170,2020-04-21 16:12:50
532,Muros,42.78,-9.06,12.78,89,46,0.45,ES,1587507467,2020-04-21 16:17:47
533,Thunder Bay,48.4,-89.32,2.0,21,5,4.6,CA,1587507323,2020-04-21 16:15:23
534,Poum,-20.23,164.02,25.27,78,2,5.55,NC,1587507467,2020-04-21 16:17:47
535,Nevşehir,38.92,34.67,9.79,63,94,1.2,TR,1587507467,2020-04-21 16:17:47
536,Lubango,-14.92,13.49,14.82,55,89,1.31,AO,1587507467,2020-04-21 16:17:47
537,Shache,38.42,77.24,14.43,40,94,0.46,CN,1587507467,2020-04-21 16:17:47
538,Charter Township of Clinton,42.59,-82.92,5.0,35,75,13.4,US,1587507468,2020-04-21 16:17:48
539,Lively,46.43,-81.15,-1.67,62,90,10.8,CA,1587507468,2020-04-21 16:17:48
540,Andros Town,24.7,-77.77,28.33,74,75,5.1,BS,1587507468,2020-04-21 16:17:48
541,Gryazi,52.5,39.94,5.0,52,100,6.0,RU,1587507468,2020-04-21 16:17:48
542,Skibbereen,51.55,-9.27,10.0,81,40,3.6,IE,1587507469,2020-04-21 16:17:49
543,Birjand,32.87,59.22,17.0,45,98,6.2,IR,1587507469,2020-04-21 16:17:49
544,Kirakira,-10.45,161.92,27.71,79,45,1.24,SB,1587507469,2020-04-21 16:17:49
545,Edgewater,28.99,-80.9,27.78,53,20,3.1,US,1587507469,2020-04-21 16:17:49
546,Codajás,-3.84,-62.06,28.95,81,54,1.08,BR,1587507303,2020-04-21 16:15:03
547,Davila,18.47,120.58,27.0,88,40,0.5,PH,1587507469,2020-04-21 16:17:49
548,Diofior,14.18,-16.67,33.0,29,0,2.1,SN,1587507469,2020-04-21 16:17:49
549,Tocopilla,-22.09,-70.2,27.18,26,2,2.31,CL,1587507470,2020-04-21 16:17:50
550,Preobrazheniye,42.9,133.91,0.37,84,46,7.19,RU,1587507470,2020-04-21 16:17:50
551,Kyrylivka,46.38,35.37,7.45,63,4,4.41,UA,1587507470,2020-04-21 16:17:50
